*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=relierv3.1_production(hat)
*Date=12:44:56
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;23.2779;-48.2038;0;Bottom;Via1
2;;;4.30583;-68.953;-90;Bottom;TXT1
3;;;43.3578;-35.4002;0;Bottom;Copper Fill23
4;220;THT;47.5279;-64.9736;90;Bottom;220O
5;;THT;19.5279;-7.82362;180;Bottom;Pu
6;;;42.4942;-54.12;0;Bottom;Copper Fill16
7;;;1.95614;-71.804;-90;Bottom;TXT1
8;;;22.1742;-54.12;0;Bottom;Copper Fill8
9;;;58.3619;-9.56452;0;Bottom;TXT2
10;;;8.4582;-56.66;0;Bottom;Copper Fill2
11;;;38.7858;-41.9661;0;Bottom;Copper Fill30
12;;THT;19.5279;-30.3235;180;Bottom;Pd
13;;THT;46.491;-32.2833;180;Bottom;GND/5v/3.3v
14;;;19.812;-75.3417;0;Bottom;Copper Fill29
15;;;55.5622;-14.6591;0;Bottom;TXT3
16;;;57.0763;-22.5534;-90;Bottom;BME280
17;;;56.4769;-43.1218;0;Bottom;Copper Fill25
18;;;32.3342;-54.12;0;Bottom;Copper Fill12
19;;;55.1942;-54.12;0;Bottom;Copper Fill21
20;;;39.9542;-54.12;0;Bottom;Copper Fill15
21;;;34.8742;-54.12;0;Bottom;Copper Fill13
22;;;10.9601;-72.8906;0;Bottom;Copper Fill32
23;;;53.8624;-78.2895;0;Bottom;TXT8
24;220;THT;43.5279;-64.9736;90;Bottom;220O
25;;;3.52794;-5.20384;0;Bottom;Hole1
26;;;42.0279;-26.2836;0;Bottom;Via3
27;;;30.6954;-14.9336;90;Bottom;ADC:ADS1116
28;;THT;19.5279;-41.3237;180;Bottom;Turb
29;;;37.4142;-54.12;0;Bottom;Copper Fill14
30;;THT;32.3412;-54.1358;0;Bottom;40pines RPi4
31;;;20.3708;-38.8673;0;Bottom;Copper Fill37
32;;;31.7831;-18.0529;-90;Bottom;lnec
33;;THT;11.0279;-65.8237;180;Bottom;WTemp
34;;;20.3708;-16.3629;0;Bottom;Copper Fill42
35;;;10.5442;-20.9285;-90;Bottom;TXT8
36;;THT;19.7579;-61.2836;90;Bottom;Nextion
37;;;11.8618;-63.3529;0;Bottom;Copper Fill36
38;;;5.48103;-42.5437;-90;Bottom;IMG1
39;;;27.2542;-54.12;0;Bottom;Copper Fill10
40;;;51.689;-21.3413;0;Bottom;Copper Fill41
